station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
SAE,01.09.1882 00:00,1.6,5.5,-0.5,,,,99.3,6.7,755.1,,,,,8.3,,29.9,,,,,3.2,,,,,,,,,,,,,,,,,,
SAE,02.09.1882 00:00,8.7,14.5,6.5,,,,68.7,7.7,759.1,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,03.09.1882 00:00,10.4,15.7,5.7,,,,78.7,10,761.4,,,,,2.4,,8.6,,,,,2,,,,,,,,,,,,,,,,,,
SAE,04.09.1882 00:00,6.6,10,4.7,,,,93.3,9.2,760.5,,,,,0,,0,,,,,12.9,,,,,,,,,,,,,,,,,,
SAE,05.09.1882 00:00,5.6,9.5,4,,,,98.3,9.1,759.9,,,,,0.4,,1.4,,,,,11.2,,,,,,,,,,,,,,,,,,
SAE,06.09.1882 00:00,3.8,6,4,,,,94.7,7.9,758.4,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,07.09.1882 00:00,3.9,5,5,,,,89,7.2,757.8,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,08.09.1882 00:00,5.6,12.5,7,,,,84.3,7.8,760.1,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,09.09.1882 00:00,7.9,13,6.5,,,,77.7,8.7,762.2,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,10.09.1882 00:00,8,1.6,1.4,,,,88.7,9.8,757,,,,,0.4,,1.4,,,,,2.8,,,,,,,,,,,,,,,,,,
SAE,11.09.1882 00:00,6.5,5,4,,,,91.3,9.2,750.9,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,12.09.1882 00:00,4.7,0.3,0.1,,,,94.3,8.2,747.2,,,,,5.3,,19.1,,,,,2,,,,,,,,,,,,,,,,,,
SAE,13.09.1882 00:00,-2.7,-4.5,-5,,,,98,5.3,742.4,,,,,2.4,,8.6,,,,,11,,,,,,,,,,,,,,,,,,
SAE,14.09.1882 00:00,-1.7,0,-0.1,,,,86.3,4.7,741.9,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,15.09.1882 00:00,0.1,3,1,,,,92,5.8,744.1,,,,,5.3,,19.1,,,,,1.1,,,,,,,,,,,,,,,,,,
SAE,16.09.1882 00:00,0.7,1.5,0,,,,91,5.8,748.5,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,17.09.1882 00:00,0.7,0.9,-0.1,,,,96.3,6.5,749.6,,,,,6.7,,24.1,,,,,2.8,,,,,,,,,,,,,,,,,,
SAE,18.09.1882 00:00,-2.6,-0.2,-0.2,,,,100,5,747.9,,,,,12.3,,44.3,,,,,4.2,,,,,,,,,,,,,,,,,,
SAE,19.09.1882 00:00,0.3,4,-1,,,,99.3,6.3,749.1,,,,,1.4,,5,,,,,4.6,,,,,,,,,,,,,,,,,,
SAE,20.09.1882 00:00,-1.1,3,-4.5,,,,92,5.5,745.2,,,,,8.3,,29.9,,,,,1,,,,,,,,,,,,,,,,,,
SAE,21.09.1882 00:00,0.7,4,-3.5,,,,96.3,6,742,,,,,1.4,,5,,,,,3,,,,,,,,,,,,,,,,,,
SAE,22.09.1882 00:00,-2,1,-3,,,,99.3,5.3,743.1,,,,,8.3,,29.9,,,,,11.1,,,,,,,,,,,,,,,,,,
SAE,23.09.1882 00:00,0,6,-2,,,,100,6.4,750.4,,,,,5.3,,19.1,,,,,3,,,,,,,,,,,,,,,,,,
SAE,24.09.1882 00:00,0.6,6,-3,,,,96,6.4,754.1,,,,,0.4,,1.4,,,,,1,,,,,,,,,,,,,,,,,,
SAE,25.09.1882 00:00,1.1,0.9,-0.1,,,,88.7,6.1,751.8,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,26.09.1882 00:00,1.3,5,-1,,,,90,6.1,745.2,,,,,6.7,,24.1,,,,,0.8,,,,,,,,,,,,,,,,,,
SAE,27.09.1882 00:00,-1.6,2,-5,,,,98.7,5.6,744.4,,,,,6.7,,24.1,,,,,5.7,,,,,,,,,,,,,,,,,,
SAE,28.09.1882 00:00,-4.6,0,-5,,,,100,4.3,748.6,,,,,8.3,,29.9,,,,,4.5,,,,,,,,,,,,,,,,,,
SAE,29.09.1882 00:00,0.9,0.2,0,,,,100,6.4,749.6,,,,,10.5,,37.8,,,,,13.2,,,,,,,,,,,,,,,,,,
SAE,30.09.1882 00:00,2.2,4,1,,,,100,7.1,755.2,,,,,10.5,,37.8,,,,,9.7,,,,,,,,,,,,,,,,,,
SAE,01.10.1882 00:00,4.7,4,1,,,,87.7,7.6,759.6,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,02.10.1882 00:00,4.7,7,2,,,,98.7,8.5,760.4,,,,,5.3,,19.1,,,,,16,,,,,,,,,,,,,,,,,,
SAE,03.10.1882 00:00,0.2,4,-4,,,,100,6.6,759.7,,,,,5.3,,19.1,,,,,26,,,,,,,,,,,,,,,,,,
SAE,04.10.1882 00:00,-3.3,0,-5,,,,97.7,4.7,756.5,,,,,2.4,,8.6,,,,,8.3,,,,,,,,,,,,,,,,,,
SAE,05.10.1882 00:00,-0.5,3,-3,,,,88.3,5.1,753.1,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,06.10.1882 00:00,1.8,5,0,,,,82.3,5.8,755.5,,,,,12.3,,44.3,,,,,0.4,,,,,,,,,,,,,,,,,,
SAE,07.10.1882 00:00,1.8,5,1,,,,78.3,5.4,759,,,,,12.3,,44.3,,,,,0,,,,,,,,,,,,,,,,,,
SAE,08.10.1882 00:00,3,5,2,,,,78.3,6.1,760.6,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,09.10.1882 00:00,4.4,9,3,,,,78,6.7,761.9,,,,,0,,0,,,,,0,,,,,,,,,,,,,,,,,,
SAE,10.10.1882 00:00,4.1,8,2,,,,90.3,7.5,759.9,,,,,1.4,,5,,,,,0,,,,,,,,,,,,,,,,,,
SAE,11.10.1882 00:00,5.1,7,3,,,,82,7.1,755.3,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,12.10.1882 00:00,2.1,6,-1,,,,86.7,6.5,747.1,,,,,8.3,,29.9,,,,,7.4,,,,,,,,,,,,,,,,,,
SAE,13.10.1882 00:00,-1.5,2,-4,,,,99,5.7,745.9,,,,,0.4,,1.4,,,,,4.3,,,,,,,,,,,,,,,,,,
SAE,14.10.1882 00:00,-1,2,-3,,,,94,5.5,747.7,,,,,0.4,,1.4,,,,,6.6,,,,,,,,,,,,,,,,,,
SAE,15.10.1882 00:00,-3.4,1,-5,,,,100,4.8,748.5,,,,,0.4,,1.4,,,,,2.4,,,,,,,,,,,,,,,,,,
SAE,16.10.1882 00:00,-2.7,0,-4,,,,62.3,3,746.4,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,17.10.1882 00:00,-2.7,0,-5,,,,92.3,4.8,749.7,,,,,6.7,,24.1,,,,,6.3,,,,,,,,,,,,,,,,,,
SAE,18.10.1882 00:00,-3.3,0.5,-6,,,,94.7,4.6,753.7,,,,,2.4,,8.6,,,,,5.3,,,,,,,,,,,,,,,,,,
SAE,19.10.1882 00:00,-0.3,4.5,-3,,,,64.3,3.7,754.2,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,20.10.1882 00:00,0,4,-2.5,,,,60.7,3.8,753.8,,,,,1.4,,5,,,,,0,,,,,,,,,,,,,,,,,,
SAE,21.10.1882 00:00,-0.8,3,-2.5,,,,95,5.5,751.2,,,,,2.4,,8.6,,,,,1.7,,,,,,,,,,,,,,,,,,
SAE,22.10.1882 00:00,0.3,1.8,-3.5,,,,100,6.3,747.5,,,,,12.3,,44.3,,,,,31.8,,,,,,,,,,,,,,,,,,
SAE,23.10.1882 00:00,-4.2,-3.2,-5,,,,100,4.5,746.9,,,,,12.3,,44.3,,,,,10,,,,,,,,,,,,,,,,,,
SAE,24.10.1882 00:00,-1.4,1,-3,,,,90,4.9,749.1,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,25.10.1882 00:00,-2.2,1,-5.5,,,,97.7,5.3,747.2,,,,,3.5,,12.6,,,,,6.2,,,,,,,,,,,,,,,,,,
SAE,26.10.1882 00:00,-4.7,0.8,-6,,,,91.7,4.1,745.8,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,27.10.1882 00:00,-1.6,0.5,-4.3,,,,85.3,4.5,738.8,,,,,19,,68.4,,,,,0,,,,,,,,,,,,,,,,,,
SAE,28.10.1882 00:00,-2.4,0,-4,,,,98.3,5.4,737.2,,,,,6.7,,24.1,,,,,6.6,,,,,,,,,,,,,,,,,,
SAE,29.10.1882 00:00,-4,-2,-5,,,,97,4.6,742.5,,,,,3.5,,12.6,,,,,14.4,,,,,,,,,,,,,,,,,,
SAE,30.10.1882 00:00,-5.6,0.5,-8,,,,87.3,3.7,751.4,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,31.10.1882 00:00,-4.6,-2.3,-4.5,,,,98.3,4.4,754.7,,,,,5.3,,19.1,,,,,2.5,,,,,,,,,,,,,,,,,,
SAE,01.11.1882 00:00,-1,3.7,-5.2,,,,82,4.8,755.4,,,,,3.5,,12.6,,,,,3.8,,,,,,,,,,,,,,,,,,
SAE,02.11.1882 00:00,-4.8,-2,-5.5,,,,84.7,3.7,755.3,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,03.11.1882 00:00,-2.2,1.2,-4,,,,61.7,3.3,757.4,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,04.11.1882 00:00,-1.5,2.5,-3,,,,68.3,3.7,756.8,,,,,10.5,,37.8,,,,,0,,,,,,,,,,,,,,,,,,
SAE,05.11.1882 00:00,-1.5,-0.5,-2.5,,,,95.3,5.2,759.8,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,06.11.1882 00:00,-1.2,-1,-2.2,,,,64.7,3.6,758.8,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,07.11.1882 00:00,-1.1,-1.8,-2.8,,,,55,3.2,755,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,08.11.1882 00:00,-2.1,-1.2,-3,,,,79,4.2,747.8,,,,,8.3,,29.9,,,,,6.8,,,,,,,,,,,,,,,,,,
SAE,09.11.1882 00:00,-4.4,-1,-8,,,,99.7,4.8,738.6,,,,,12.3,,44.3,,,,,17.7,,,,,,,,,,,,,,,,,,
SAE,10.11.1882 00:00,-8,-7,-8.4,,,,100,3.4,743.4,,,,,19,,68.4,,,,,6.5,,,,,,,,,,,,,,,,,,
SAE,11.11.1882 00:00,-8.1,-5,-11,,,,100,3.5,745.7,,,,,19,,68.4,,,,,7,,,,,,,,,,,,,,,,,,
SAE,12.11.1882 00:00,-9.3,-3,-10.4,,,,69,2,750.1,,,,,2.4,,8.6,,,,,1,,,,,,,,,,,,,,,,,,
SAE,13.11.1882 00:00,-2.7,-2,-3,,,,100,5,749,,,,,6.7,,24.1,,,,,11.5,,,,,,,,,,,,,,,,,,
SAE,14.11.1882 00:00,-1.5,0.8,-5,,,,94,5.2,746.5,,,,,0,,0,,,,,2,,,,,,,,,,,,,,,,,,
SAE,15.11.1882 00:00,-9.3,-5.8,-13,,,,100,3.2,740.1,,,,,16.9,,60.8,,,,,2,,,,,,,,,,,,,,,,,,
SAE,16.11.1882 00:00,-8.6,-5.5,-11,,,,99.3,3.3,735.4,,,,,2.4,,8.6,,,,,3,,,,,,,,,,,,,,,,,,
SAE,17.11.1882 00:00,-11.4,-10,-16,,,,100,2.6,734.7,,,,,5.3,,19.1,,,,,6.5,,,,,,,,,,,,,,,,,,
SAE,18.11.1882 00:00,-15.8,-13,-16.2,,,,100,1.8,740.7,,,,,14.2,,51.1,,,,,12,,,,,,,,,,,,,,,,,,
SAE,19.11.1882 00:00,-8.4,-8.5,-11.2,,,,97,3.3,738.7,,,,,12.3,,44.3,,,,,9.9,,,,,,,,,,,,,,,,,,
SAE,20.11.1882 00:00,-10.7,-8,-12,,,,100,2.8,733.6,,,,,14.2,,51.1,,,,,5,,,,,,,,,,,,,,,,,,
SAE,21.11.1882 00:00,-11.1,-10,-13,,,,100,2.6,738.4,,,,,5.3,,19.1,,,,,10.3,,,,,,,,,,,,,,,,,,
SAE,22.11.1882 00:00,-9,-6,-12,,,,99.7,2.9,741.6,,,,,12.3,,44.3,,,,,7.6,,,,,,,,,,,,,,,,,,
SAE,23.11.1882 00:00,-3.4,-0.5,-5.7,,,,100,4.7,746,,,,,12.3,,44.3,,,,,6.3,,,,,,,,,,,,,,,,,,
SAE,24.11.1882 00:00,-3.1,-1.2,-6,,,,100,5,745.2,,,,,5.3,,19.1,,,,,5,,,,,,,,,,,,,,,,,,
SAE,25.11.1882 00:00,-3,-1,-5.8,,,,99.3,4.7,744.6,,,,,12.3,,44.3,,,,,5,,,,,,,,,,,,,,,,,,
SAE,26.11.1882 00:00,-3,-1,-7,,,,100,5.1,742.8,,,,,5.3,,19.1,,,,,5.6,,,,,,,,,,,,,,,,,,
SAE,27.11.1882 00:00,-9.2,-7,-13,,,,100,3.1,742.8,,,,,6.7,,24.1,,,,,13.1,,,,,,,,,,,,,,,,,,
SAE,28.11.1882 00:00,-13.2,-12,-13.5,,,,98,2.2,741.3,,,,,8.3,,29.9,,,,,11,,,,,,,,,,,,,,,,,,
SAE,29.11.1882 00:00,-12.9,-10,-14,,,,95.7,2.1,744.2,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,30.11.1882 00:00,-9.9,-7.8,-11.2,,,,98.7,2.9,740.5,,,,,1.4,,5,,,,,0,,,,,,,,,,,,,,,,,,
SAE,01.12.1882 00:00,-12.3,-9.5,-16,,,,99.7,2.5,739.4,,,,,2.4,,8.6,,,,,3,,,,,,,,,,,,,,,,,,
SAE,02.12.1882 00:00,-16.6,-14.5,-17.5,,,,95.3,1.6,740.6,,,,,2.4,,8.6,,,,,4,,,,,,,,,,,,,,,,,,
SAE,03.12.1882 00:00,-11.9,-4,-16.5,,,,96.3,2.2,741.1,,,,,10.5,,37.8,,,,,0,,,,,,,,,,,,,,,,,,
SAE,04.12.1882 00:00,-5.8,-3,-9,,,,100,4.2,733.9,,,,,12.3,,44.3,,,,,0,,,,,,,,,,,,,,,,,,
SAE,05.12.1882 00:00,-11,-8.7,-12.2,,,,98.7,2.7,730.1,,,,,2.4,,8.6,,,,,2.6,,,,,,,,,,,,,,,,,,
SAE,06.12.1882 00:00,-12.5,-9,-12.5,,,,95.3,2.3,729.7,,,,,6.7,,24.1,,,,,0.6,,,,,,,,,,,,,,,,,,
SAE,07.12.1882 00:00,-9.1,-7,-12.5,,,,97.7,3,729.4,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,08.12.1882 00:00,-12.1,-9,-13,,,,93.7,2.3,738.5,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,09.12.1882 00:00,-10.3,-4.5,-13,,,,93.7,2.5,742.3,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,10.12.1882 00:00,-5,-4,-7,,,,100,4.2,737.3,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,11.12.1882 00:00,-7.1,-5,-8,,,,100,3.7,737.2,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,12.12.1882 00:00,-8.1,-7,-8.5,,,,97,3.3,741.9,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,13.12.1882 00:00,-5.2,-3,-7,,,,94.3,3.8,746.5,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,14.12.1882 00:00,-3.4,-2,-4.3,,,,97.3,4.7,749.2,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,15.12.1882 00:00,-3.5,-1.4,-4.2,,,,95,4.6,752.1,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,16.12.1882 00:00,-2.4,0,-5,,,,93.7,4.8,752.7,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,17.12.1882 00:00,-2.4,1.5,-5.2,,,,85.3,4.4,753.7,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,18.12.1882 00:00,-4.1,-0.5,-5,,,,78,3.6,750,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,19.12.1882 00:00,-3.6,1.2,-5,,,,70.3,3.5,754.2,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,20.12.1882 00:00,-4.4,1.6,-6.2,,,,56,2.6,759.5,,,,,0.4,,1.4,,,,,0,,,,,,,,,,,,,,,,,,
SAE,21.12.1882 00:00,-6.2,-3,-8,,,,71.7,2.8,754.8,,,,,10.5,,37.8,,,,,1.6,,,,,,,,,,,,,,,,,,
SAE,22.12.1882 00:00,-9.5,-3,-10,,,,95.7,2.9,744.4,,,,,6.7,,24.1,,,,,0.6,,,,,,,,,,,,,,,,,,
SAE,23.12.1882 00:00,-11,-6.2,-14,,,,98,2.9,731.3,,,,,14.2,,51.1,,,,,2.2,,,,,,,,,,,,,,,,,,
SAE,24.12.1882 00:00,-14.6,-13,-15.5,,,,95.3,1.9,737.6,,,,,12.3,,44.3,,,,,7.8,,,,,,,,,,,,,,,,,,
SAE,25.12.1882 00:00,-9.9,-4,-15.5,,,,96.7,2.6,741.5,,,,,14.2,,51.1,,,,,2,,,,,,,,,,,,,,,,,,
SAE,26.12.1882 00:00,-4,-3,-5,,,,100,4.5,741.5,,,,,19,,68.4,,,,,0,,,,,,,,,,,,,,,,,,
SAE,27.12.1882 00:00,-2.3,-1.5,-3.5,,,,100,5.1,747.6,,,,,12.3,,44.3,,,,,16.5,,,,,,,,,,,,,,,,,,
SAE,28.12.1882 00:00,-2.9,-1,-6,,,,100,5.1,753.8,,,,,8.3,,29.9,,,,,2,,,,,,,,,,,,,,,,,,
SAE,29.12.1882 00:00,-5.7,-2.5,-6.5,,,,87.7,3.5,752.9,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,30.12.1882 00:00,-5.2,-3,-5.8,,,,91.7,3.9,752.9,,,,,8.3,,29.9,,,,,0.6,,,,,,,,,,,,,,,,,,
SAE,31.12.1882 00:00,-1.7,-0.5,-4,,,,100,5.3,755.4,,,,,8.3,,29.9,,,,,20,,,,,,,,,,,,,,,,,,
SAE,01.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,02.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
SAE,03.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
SAE,04.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,05.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,06.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,07.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,08.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,09.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
SAE,10.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,11.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,12.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,13.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,14.01.1883 00:00,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SAE,15.01.1883 00:00,,,,,,,,,,,,,,2.4,,8.6,,,,,2.6,,,,,,,,,,,,,,,,,,
SAE,16.01.1883 00:00,-6.7,-3,-8,,,,92.7,3.6,742.5,,,,,0.4,,1.4,,,,,6.7,,,,,,,,,,,,,,,,,,
SAE,17.01.1883 00:00,-7.3,-6,-8,,,,99.7,3.5,752.1,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,18.01.1883 00:00,-6.4,-2,-7.6,,,,82.7,3.3,756.1,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,19.01.1883 00:00,-5.2,-2,-6,,,,52,2.2,759.5,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,20.01.1883 00:00,-2.9,1,-5,,,,37.7,1.9,759.7,,,,,1.4,,5,,,,,0,,,,,,,,,,,,,,,,,,
SAE,21.01.1883 00:00,-5.8,-3,-9.5,,,,36.7,1.6,757.8,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,22.01.1883 00:00,-11.9,-6,-19,,,,45.7,1.1,755.2,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,23.01.1883 00:00,-18.3,-15,-21,,,,91.3,1.4,751.4,,,,,6.7,,24.1,,,,,1.8,,,,,,,,,,,,,,,,,,
SAE,24.01.1883 00:00,-19.2,-16,-19,,,,94,1.3,745.2,,,,,10.5,,37.8,,,,,0,,,,,,,,,,,,,,,,,,
SAE,25.01.1883 00:00,-16,-11,-16,,,,70,1.2,736.6,,,,,8.3,,29.9,,,,,0.2,,,,,,,,,,,,,,,,,,
SAE,26.01.1883 00:00,-10.6,-6.6,-12.8,,,,98,2.8,737.2,,,,,14.2,,51.1,,,,,1.2,,,,,,,,,,,,,,,,,,
SAE,27.01.1883 00:00,-11.6,-9.6,-14,,,,98.3,2.4,745.6,,,,,14.2,,51.1,,,,,0.9,,,,,,,,,,,,,,,,,,
SAE,28.01.1883 00:00,-11.6,-6,-13,,,,98,2.6,752.2,,,,,12.3,,44.3,,,,,0,,,,,,,,,,,,,,,,,,
SAE,29.01.1883 00:00,-2.3,0,-6,,,,87,4.4,755,,,,,10.5,,37.8,,,,,0,,,,,,,,,,,,,,,,,,
SAE,30.01.1883 00:00,-6.9,-3,-11,,,,83,3.3,746.8,,,,,6.7,,24.1,,,,,3.6,,,,,,,,,,,,,,,,,,
SAE,31.01.1883 00:00,-8,-3.5,-10.5,,,,82.7,2.8,736.5,,,,,8.3,,29.9,,,,,0,,,,,,,,,,,,,,,,,,
SAE,01.02.1883 00:00,-7.8,-4.1,-9,,,,84.7,3,738.6,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,02.02.1883 00:00,-4.7,0,-8,,,,62.7,2.8,746.7,,,,,0.4,,1.4,,,,,0,,,,,,,,,,,,,,,,,,
SAE,03.02.1883 00:00,-5.2,-3.2,-6.4,,,,81.3,3.4,751.8,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,04.02.1883 00:00,-6.9,-4,-11.3,,,,96,3.7,753.4,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,05.02.1883 00:00,-5.8,-1,-9.5,,,,46.3,1.8,755.2,,,,,1.4,,5,,,,,0,,,,,,,,,,,,,,,,,,
SAE,06.02.1883 00:00,-7.9,-2.2,-14,,,,42.3,1.6,750,,,,,2.4,,8.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,07.02.1883 00:00,-10.7,-6,-12.4,,,,60.7,1.6,746.6,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,08.02.1883 00:00,-4.1,-2.5,,,,,100,4.5,751.1,,,,,6.7,,24.1,,,,,1.6,,,,,,,,,,,,,,,,,,
SAE,09.02.1883 00:00,-2.3,2,-5,,,,95.3,5,752.3,,,,,1.4,,5,,,,,0,,,,,,,,,,,,,,,,,,
SAE,10.02.1883 00:00,-3.3,-0.2,-5,,,,87,4.3,752.3,,,,,2.4,,8.6,,,,,3,,,,,,,,,,,,,,,,,,
SAE,11.02.1883 00:00,-6.9,-1,-11.2,,,,86,3.5,751.3,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,12.02.1883 00:00,-5.2,-1,-10,,,,58.3,2.2,751.3,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,13.02.1883 00:00,-5.6,-1.4,-7.7,,,,64.3,2.6,749.6,,,,,3.5,,12.6,,,,,1.1,,,,,,,,,,,,,,,,,,
SAE,14.02.1883 00:00,-5.3,-0.4,-7,,,,84.7,3.5,754.1,,,,,3.5,,12.6,,,,,0,,,,,,,,,,,,,,,,,,
SAE,15.02.1883 00:00,-4.9,-2.7,-8,,,,71.3,3,757.2,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,16.02.1883 00:00,-8.1,-1,-10,,,,100,3.5,754.3,,,,,5.3,,19.1,,,,,1.5,,,,,,,,,,,,,,,,,,
SAE,17.02.1883 00:00,-9.1,-5,-12.8,,,,97.7,3.2,754.2,,,,,3.5,,12.6,,,,,5,,,,,,,,,,,,,,,,,,
SAE,18.02.1883 00:00,-9.2,-5.5,-11.3,,,,75,2.3,749.7,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,19.02.1883 00:00,-9.6,-3,-13.8,,,,93,2.9,749,,,,,3.5,,12.6,,,,,2,,,,,,,,,,,,,,,,,,
SAE,20.02.1883 00:00,-11.6,-6,-13.6,,,,72.7,1.9,754.9,,,,,3.5,,12.6,,,,,0.6,,,,,,,,,,,,,,,,,,
SAE,21.02.1883 00:00,-6.5,-1.5,-12.4,,,,81,3.1,762.9,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,22.02.1883 00:00,-3.7,-0.2,-5.5,,,,85,4,765.6,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,23.02.1883 00:00,-6.2,-4.5,-10.8,,,,99.3,3.9,766.9,,,,,6.7,,24.1,,,,,1.7,,,,,,,,,,,,,,,,,,
SAE,24.02.1883 00:00,-7.7,-1.2,-10,,,,72.7,2.5,765.3,,,,,8.3,,29.9,,,,,0.6,,,,,,,,,,,,,,,,,,
SAE,25.02.1883 00:00,-3.3,-0.3,-8,,,,77.7,3.9,764.3,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,26.02.1883 00:00,-6.9,-0.3,-8.2,,,,58.7,2.2,762.4,,,,,5.3,,19.1,,,,,0,,,,,,,,,,,,,,,,,,
SAE,27.02.1883 00:00,-5.5,-1.5,-8,,,,65,2.7,760.6,,,,,6.7,,24.1,,,,,0,,,,,,,,,,,,,,,,,,
